issue_id,bug_type,subsystems,dirctories,files,num_developer,num_unique_change,add_line,delete_line,churns,OpenToLastCommit_min,OpenToResolved_min,OpenToLastCommit_Days,OpenToResolved_Days,OpenToLastCommit_Hour,OpenToResolved_Hour
92,Normal,3,3,3,8,89,10,4,14,99,2,0,0,1.65,0.0333333333
192,Surprising,2,2,2,4,155,13,1,14,7,459,0,0,0.1166666667,7.65
198,Surprising,2,2,2,4,156,6,0,6,1,81,0,0,0.0166666667,1.35
199,Surprising,2,2,2,4,157,2,1,3,1,74,0,0,0.0166666667,1.2333333333
202,Surprising,2,2,2,4,160,8,2,10,0,26,0,0,0,0.4333333333
207,Surprising,2,2,2,4,165,3,0,3,35,2145,0,1,0.5833333333,35.75
208,Normal,2,2,3,4,171,37,1,38,33,2033,0,1,0.55,33.8833333333
217,Surprising,2,2,2,4,175,7,1,8,18,1111,0,0,0.3,18.5166666667
222,Surprising,3,3,3,4,179,44,42,86,97,5820,0,4,1.6166666667,97
226,Surprising,2,3,3,4,185,6,4,10,81,4861,0,3,1.35,81.0166666667
232,Surprising,2,2,3,4,187,21,4,25,77,4651,0,3,1.2833333333,77.5166666667
236,Normal,2,2,2,4,191,3,1,4,58,3488,0,2,0.9666666667,58.1333333333
237,Performance,1,1,2,4,3,96,135,231,85,5119,0,3,1.4166666667,85.3166666667
245,Normal,2,4,4,6,228,15,3,18,65,4087,0,2,1.0833333333,68.1166666667
247,Normal,2,3,5,8,321,125,204,329,525,31533,0,21,8.75,525.55
249,Normal,2,4,10,7,248,653,1,654,75,4562,0,3,1.25,76.0333333333
252,Normal,2,4,24,6,251,2,2353,2355,46,2849,0,1,0.7666666667,47.4833333333
253,Normal,2,3,3,6,228,9,2,11,45,2846,0,1,0.75,47.4333333333
255,Normal,2,5,20,6,262,78,75,153,45,2770,0,1,0.75,46.1666666667
256,Normal,2,3,4,6,229,18,0,18,44,2765,0,1,0.7333333333,46.0833333333
257,Normal,2,2,2,6,230,10,3,13,44,4316,0,2,0.7333333333,71.9333333333
262,Normal,2,2,2,6,213,3,3,6,43,4305,0,2,0.7166666667,71.75
264,Normal,2,2,2,6,210,5,0,5,42,4317,0,2,0.7,71.95
274,Normal,2,2,2,6,238,7,1,8,33,1993,0,1,0.55,33.2166666667
276,Normal,2,3,3,7,268,11,9,20,311,71767,0,49,5.1833333333,1196.1166666667
280,Normal,2,6,7,7,253,18,108,126,31,1883,0,1,0.5166666667,31.3833333333
283,Normal,2,2,2,7,246,7,2,9,30,2606,0,1,0.5,43.4333333333
287,Normal,2,4,4,7,254,7,2,9,28,30397,0,21,0.4666666667,506.6166666667
290,Normal,2,2,2,5,202,3,0,3,0,2,0,0,0,0.0333333333
292,Normal,2,2,2,5,206,3,1,4,0,2,0,0,0,0.0333333333
300,Normal,2,4,10,6,265,63,27,90,13,792,0,0,0.2166666667,13.2
302,Normal,2,4,5,7,267,6,6,12,226,52967,0,36,3.7666666667,882.7833333333
