issue_id,bug_type,subsystems,dirctories,files,num_developer,num_unique_change,add_line,delete_line,churns,OpenToLastCommit_min,OpenToResolved_min,OpenToLastCommit_Days,OpenToResolved_Days,OpenToLastCommit_Hour,OpenToResolved_Hour
72,Normal,1,1,1,5,1,6,5,11,22,1347,0,0,0.3666666667,22.45
112,Normal,1,2,4,5,11,29,3,32,0,7,0,0,0,0.1166666667
161,Normal,1,1,1,5,7,2,2,4,83,4993,0,3,1.3833333333,83.2166666667
166,Normal,2,3,3,10,47,10,4,14,36,2175,0,1,0.6,36.25
210,Surprising,1,3,3,5,35,54,6,60,191,11549,0,8,3.1833333333,192.4833333333
214,Surprising,4,4,4,16,238,148,19,167,3337,200646,2,139,55.6166666667,3344.1
224,Surprising,3,3,3,10,17,84,1,85,8,567,0,0,0.1333333333,9.45
232,Surprising,3,8,17,10,160,214,101,315,18,1201,0,0,0.3,20.0166666667
277,Normal,1,1,1,5,15,1,0,1,550,33092,0,22,9.1666666667,551.5333333333
278,Normal,1,1,1,5,5,6,4,10,550,33082,0,22,9.1666666667,551.3666666667
304,Normal,2,3,5,11,27,138,12,150,0,8,0,0,0,0.1333333333
320,Normal,1,1,1,5,2,1,0,1,30,1905,0,1,0.5,31.75
323,Normal,1,1,2,6,53,0,2,2,150,9085,0,6,2.5,151.4166666667
324,Normal,2,4,5,8,31,173,25,198,424,25522,0,17,7.0666666667,425.3666666667
340,Normal,1,2,3,6,10,153,6,159,254,15355,0,10,4.2333333333,255.9166666667
363,Normal,1,3,7,7,6,249,14,263,139,8363,0,5,2.3166666667,139.3833333333
370,Breakage,1,1,3,8,13,11,14,25,2,200,0,0,0.0333333333,3.3333333333
374,Normal,1,1,1,8,5,12,6,18,304,23359,0,16,5.0666666667,389.3166666667
384,Normal,1,3,5,7,23,33,7,40,31,1892,0,1,0.5166666667,31.5333333333
404,Normal,5,29,59,40,608,205,358,563,59,3564,0,2,0.9833333333,59.4
410,Normal,2,7,12,18,67,691,35,726,224,11012,0,7,3.7333333333,183.5333333333
456,Normal,1,2,2,9,46,401,49,450,79,4704,0,3,1.3166666667,78.4
457,Surprising,2,3,3,9,12,116,1,117,48,2896,0,2,0.8,48.2666666667
498,Normal,2,4,5,18,46,82,37,119,6,553,0,0,0.1,9.2166666667
499,Normal,1,1,1,9,57,7,6,13,11,704,0,0,0.1833333333,11.7333333333
509,Performance,1,1,1,8,7,10,0,10,5,302,0,0,0.0833333333,5.0333333333
517,Normal,17,98,249,153,1941,1025,1125,2150,255,15326,0,10,4.25,255.4333333333
524,Normal,1,5,10,9,110,256,110,366,10,3193,0,2,0.1666666667,53.2166666667
536,Normal,1,3,6,10,56,193,46,239,47,2843,0,1,0.7833333333,47.3833333333
550,Dormant,1,8,10,10,208,58,31,89,33,1999,0,1,0.55,33.3166666667
551,Normal,1,2,5,10,9,112,5,117,0,52,0,0,0,0.8666666667
552,Normal,1,1,1,9,41,5,6,11,24,1451,0,1,0.4,24.1833333333
574,Performance,1,1,1,10,14,6,6,12,0,55,0,0,0,0.9166666667
581,Normal,1,2,2,10,12,2,1,3,19,1200,0,0,0.3166666667,20
594,Normal,1,4,4,10,16,12,2,14,3,217,0,0,0.05,3.6166666667
620,Normal,1,2,3,10,28,92,20,112,101,6119,0,4,1.6833333333,101.9833333333
634,Performance,2,10,13,10,160,608,24,632,152,9620,0,6,2.5333333333,160.3333333333
636,Normal,3,5,6,31,54,104,6,110,356,20437,0,14,5.9333333333,340.6166666667
642,Normal,6,10,15,40,265,87,65,152,134,9821,0,6,2.2333333333,163.6833333333
652,Normal,1,1,2,10,9,103,64,167,0,147,0,0,0,2.45
653,Normal,1,2,4,9,34,246,8,254,53,3228,0,2,0.8833333333,53.8
686,Normal,2,9,17,20,49,647,225,872,22,2456,0,1,0.3666666667,40.9333333333
688,Normal,3,14,19,22,104,199,38,237,6,418,0,0,0.1,6.9666666667
696,Normal,1,1,1,10,2,28,6,34,2,161,0,0,0.0333333333,2.6833333333
697,Normal,1,2,2,9,2,53,0,53,0,30,0,0,0,0.5
707,Normal,2,3,4,20,55,23,43,66,14,133,0,0,0.2333333333,2.2166666667
713,Normal,2,4,6,20,44,154,17,171,0,45,0,0,0,0.75
727,Breakage,1,2,3,10,5,44,32,76,10,60,0,0,0.1666666667,1
737,Normal,1,4,4,10,85,42,3,45,5,325,0,0,0.0833333333,5.4166666667
738,Normal,3,7,9,19,36,236,6,242,5,61,0,0,0.0833333333,1.0166666667
741,Normal,2,4,7,20,22,284,2,286,2,2464,0,1,0.0333333333,41.0666666667
747,Surprising,2,3,3,10,8,14,20,34,0,28,0,0,0,0.4666666667
755,Surprising,1,3,3,11,15,26,24,50,0,43,0,0,0,0.7166666667
763,Surprising,3,8,9,22,125,56,13,69,0,242,0,0,0,4.0333333333
765,Normal,1,2,2,10,10,75,1,76,2,180,0,0,0.0333333333,3
794,Surprising,4,6,7,34,16,235,54,289,733,44035,0,30,12.2166666667,733.9166666667
794,Performance,4,6,7,34,16,235,54,289,733,44035,0,30,12.2166666667,733.9166666667
795,Surprising,1,2,2,11,5,5,5,10,0,8,0,0,0,0.1333333333
807,Surprising,1,2,2,12,23,32,19,51,1091,66305,0,46,18.1833333333,1105.0833333333
811,Surprising,2,4,4,10,28,93,2,95,0,58,0,0,0,0.9666666667
818,Surprising,1,2,4,10,5,111,19,130,2,2664,0,1,0.0333333333,44.4
818,Dormant,1,2,4,10,5,111,19,130,2,2664,0,1,0.0333333333,44.4
834,Surprising,1,1,2,11,8,109,1,110,15,2339,0,1,0.25,38.9833333333
873,Normal,5,9,19,39,184,160,62,222,2,2732,0,1,0.0333333333,45.5333333333
881,Normal,1,2,4,10,33,22,11,33,0,21,0,0,0,0.35
882,Security,1,1,1,9,8,1,1,2,3,198,0,0,0.05,3.3
886,Normal,1,1,1,10,8,1,1,2,147,8827,0,6,2.45,147.1166666667
902,Dormant,1,2,2,10,11,10,4,14,0,1300,0,0,0,21.6666666667
906,Performance,1,2,4,11,54,78,7,85,1,69,0,0,0.0166666667,1.15
912,Normal,1,2,2,11,22,32,0,32,2,142,0,0,0.0333333333,2.3666666667
920,Normal,2,3,3,11,41,141,0,141,10,612,0,0,0.1666666667,10.2
922,Normal,2,5,6,11,251,31,19,50,0,270,0,0,0,4.5
957,Normal,1,2,2,12,58,199,101,300,0,18,0,0,0,0.3
958,Normal,4,9,10,24,127,40,39,79,72,4333,0,3,1.2,72.2166666667
969,Normal,1,1,1,12,42,6,1,7,5,299,0,0,0.0833333333,4.9833333333
970,Normal,1,1,1,10,5,5,6,11,0,43,0,0,0,0.7166666667
973,Breakage,3,4,4,23,17,135,13,148,96,176950,0,122,1.6,2949.1666666667
983,Normal,4,7,8,48,179,206,24,230,47,2868,0,1,0.7833333333,47.8
992,Normal,1,1,1,1,0,18,0,18,1,116,0,0,0.0166666667,1.9333333333
1023,Normal,1,2,4,12,45,43,23,66,0,4724,0,3,0,78.7333333333
1053,Surprising,2,11,23,24,110,232,196,428,6,747,0,0,0.1,12.45
1053,Dormant,2,11,23,24,110,232,196,428,6,747,0,0,0.1,12.45
1057,Surprising,1,1,1,12,11,3,2,5,11,746,0,0,0.1833333333,12.4333333333
1057,Dormant,1,1,1,12,11,3,2,5,11,746,0,0,0.1833333333,12.4333333333
1062,Surprising,1,1,1,10,2,3,3,6,3,360,0,0,0.05,6
1070,Surprising,1,1,1,11,15,3,0,3,0,16,0,0,0,0.2666666667
1070,Dormant,1,1,1,11,15,3,0,3,0,16,0,0,0,0.2666666667
1074,Surprising,3,6,8,18,16,389,9,398,325,23642,0,16,5.4166666667,394.0333333333
1088,Surprising,1,6,12,12,53,374,91,465,0,10,0,0,0,0.1666666667
1088,Dormant,1,6,12,12,53,374,91,465,0,10,0,0,0,0.1666666667
1090,Surprising,1,2,2,13,6,34,1,35,0,1,0,0,0,0.0166666667
1091,Surprising,7,8,9,84,35,225,85,310,85,4149,0,2,1.4166666667,69.15
1091,Security,7,8,9,84,35,225,85,310,85,4149,0,2,1.4166666667,69.15
1103,Surprising,1,1,1,12,10,2,1,3,2,221,0,0,0.0333333333,3.6833333333
1107,Surprising,1,4,14,12,111,701,174,875,6,499,0,0,0.1,8.3166666667
1108,Performance,1,1,1,12,22,1,1,2,143,8657,0,6,2.3833333333,144.2833333333
1122,Surprising,1,2,2,13,43,63,2,65,0,103,0,0,0,1.7166666667
1145,Normal,2,5,6,24,64,193,2,195,1,1342,0,0,0.0166666667,22.3666666667
1146,Normal,1,1,1,12,20,10,0,10,0,78,0,0,0,1.3
1187,Normal,3,5,11,26,102,273,110,383,1,148,0,0,0.0166666667,2.4666666667
1191,Normal,1,1,1,12,10,4,6,10,5,367,0,0,0.0833333333,6.1166666667
1196,Normal,1,1,1,13,52,27,11,38,6,430,0,0,0.1,7.1666666667
1199,Performance,5,7,7,52,30,137,61,198,402,24273,0,16,6.7,404.55
1205,Normal,2,4,4,14,52,130,25,155,1037,62337,0,43,17.2833333333,1038.95
1207,Dormant,2,2,2,16,17,5,3,8,21,9488,0,6,0.35,158.1333333333
1247,Normal,4,5,8,56,151,96,9,105,25,2446,0,1,0.4166666667,40.7666666667
1270,Blocker,2,2,2,14,44,17,14,31,0,10,0,0,0,0.1666666667
1271,Normal,3,13,16,40,137,231,19,250,376,32828,0,22,6.2666666667,547.1333333333
1274,Performance,1,2,2,13,13,51,4,55,0,46,0,0,0,0.7666666667
1277,Breakage,1,1,1,14,248,5,0,5,0,24,0,0,0,0.4
1283,Normal,1,2,2,12,12,48,9,57,14,958,0,0,0.2333333333,15.9666666667
1296,Breakage,1,2,3,14,13,23,21,44,0,1,0,0,0,0.0166666667
1325,Normal,1,2,2,14,51,8,2,10,0,97,0,0,0,1.6166666667
1366,Performance,1,2,2,14,23,132,3,135,154,9528,0,6,2.5666666667,158.8
1384,Blocker,1,4,5,14,75,105,13,118,39,2406,0,1,0.65,40.1
1384,Security,1,4,5,14,75,105,13,118,39,2406,0,1,0.65,40.1
1384,Performance,1,4,5,14,75,105,13,118,39,2406,0,1,0.65,40.1
1401,Dormant,1,2,6,14,35,196,59,255,1,161,0,0,0.0166666667,2.6833333333
1408,Normal,3,7,13,28,185,250,33,283,0,61,0,0,0,1.0166666667
1411,Blocker,2,8,9,14,213,22,55,77,21,454,0,0,0.35,7.5666666667
1412,Normal,1,1,1,14,32,1,1,2,0,4177,0,2,0,69.6166666667
1414,Normal,2,2,2,26,25,2,0,2,0,68,0,0,0,1.1333333333
1417,Performance,2,8,9,28,162,184,51,235,2,151,0,0,0.0333333333,2.5166666667
1442,Normal,1,9,19,14,33,164,116,280,61,4222,0,2,1.0166666667,70.3666666667
1443,Breakage,3,8,10,28,42,148,76,224,47,3093,0,2,0.7833333333,51.55
1461,Surprising,5,7,9,57,204,342,16,358,468,11104,0,7,7.8,185.0666666667
1461,Performance,5,7,9,57,204,342,16,358,468,11104,0,7,7.8,185.0666666667
1463,Surprising,3,9,13,28,166,445,104,549,21,1357,0,0,0.35,22.6166666667
1480,Surprising,1,2,4,14,63,140,27,167,1,83,0,0,0.0166666667,1.3833333333
1480,Breakage,1,2,4,14,63,140,27,167,1,83,0,0,0.0166666667,1.3833333333
1492,Surprising,2,2,2,28,91,16,8,24,14,893,0,0,0.2333333333,14.8833333333
1497,Surprising,1,1,1,12,6,2,2,4,0,124979,0,86,0,2082.9833333333
1504,Surprising,1,2,2,14,45,50,0,50,55,3329,0,2,0.9166666667,55.4833333333
1504,Security,1,2,2,14,45,50,0,50,55,3329,0,2,0.9166666667,55.4833333333
1505,Dormant,1,1,1,12,13,3,3,6,18,1130,0,0,0.3,18.8333333333
1506,Surprising,1,2,5,14,76,265,22,287,17,2065,0,1,0.2833333333,34.4166666667
1548,Normal,2,14,22,14,219,257,251,508,20,1379,0,0,0.3333333333,22.9833333333
1568,Dormant,2,2,2,28,57,14,23,37,29,1156,0,0,0.4833333333,19.2666666667
1581,Dormant,1,2,4,1,0,190,0,190,0,1127,0,0,0,18.7833333333
1585,Normal,4,10,16,28,273,407,22,429,10,667,0,0,0.1666666667,11.1166666667
1586,Normal,1,2,2,14,8,30,4,34,1,192,0,0,0.0166666667,3.2
1614,Dormant,1,1,1,14,29,11,9,20,1,92,0,0,0.0166666667,1.5333333333
1650,Blocker,4,15,21,28,139,584,52,636,281,15764,0,10,4.6833333333,262.7333333333
1689,Normal,2,4,9,28,220,594,199,793,524,31497,0,21,8.7333333333,524.95
1697,Normal,2,6,12,14,93,454,31,485,23,1384,0,0,0.3833333333,23.0666666667
1716,Surprising,2,3,3,14,36,29,7,36,7,466,0,0,0.1166666667,7.7666666667
1716,Breakage,2,3,3,14,36,29,7,36,7,466,0,0,0.1166666667,7.7666666667
1719,Surprising,1,2,2,14,30,149,3,152,1,97,0,0,0.0166666667,1.6166666667
1735,Surprising,4,5,8,42,78,48,13,61,45,2694,0,1,0.75,44.9
1736,Surprising,1,2,2,14,7,87,0,87,2,1298,0,0,0.0333333333,21.6333333333
1736,Dormant,1,2,2,14,7,87,0,87,2,1298,0,0,0.0333333333,21.6333333333
1752,Dormant,1,1,1,14,33,2,1,3,5,528,0,0,0.0833333333,8.8
1752,Performance,1,1,1,14,33,2,1,3,5,528,0,0,0.0833333333,8.8
1755,Surprising,1,2,2,14,7,103,2,105,0,17,0,0,0,0.2833333333
1760,Surprising,1,2,2,14,25,35,1,36,2,202,0,0,0.0333333333,3.3666666667
1764,Surprising,1,1,1,15,4,4,0,4,0,19,0,0,0,0.3166666667
1764,Dormant,1,1,1,15,4,4,0,4,0,19,0,0,0,0.3166666667
1765,Surprising,1,1,1,14,27,0,16,16,133,7980,0,5,2.2166666667,133
1765,Security,1,1,1,14,27,0,16,16,133,7980,0,5,2.2166666667,133
1786,Surprising,1,2,2,14,9,12,4,16,0,29,0,0,0,0.4833333333
1786,Dormant,1,2,2,14,9,12,4,16,0,29,0,0,0,0.4833333333
1793,Surprising,1,1,3,14,13,3,3,6,0,22,0,0,0,0.3666666667
1793,Performance,1,1,3,14,13,3,3,6,0,22,0,0,0,0.3666666667
1793,Breakage,1,1,3,14,13,3,3,6,0,22,0,0,0,0.3666666667
1795,Dormant,1,1,1,14,42,1,1,2,0,19,0,0,0,0.3166666667
1795,Performance,1,1,1,14,42,1,1,2,0,19,0,0,0,0.3166666667
1828,Surprising,1,2,2,14,13,47,7,54,0,4241,0,2,0,70.6833333333
1828,Dormant,1,2,2,14,13,47,7,54,0,4241,0,2,0,70.6833333333
1838,Normal,2,3,5,14,47,168,8,176,0,1485,0,1,0,24.75
1839,Breakage,1,2,2,14,23,6,4,10,3,11,0,0,0.05,0.1833333333
1849,Surprising,4,11,15,44,143,332,427,759,66,3967,0,2,1.1,66.1166666667
1851,Surprising,1,2,2,14,43,135,20,155,53,3185,0,2,0.8833333333,53.0833333333
1851,Dormant,1,2,2,14,43,135,20,155,53,3185,0,2,0.8833333333,53.0833333333
1862,Surprising,1,1,1,15,54,1,0,1,26,1628,0,1,0.4333333333,27.1333333333
1865,Surprising,1,2,2,14,9,86,3,89,3,232,0,0,0.05,3.8666666667
1867,Surprising,5,7,17,59,187,752,37,789,181,8418,0,5,3.0166666667,140.3
1873,Surprising,3,9,13,29,193,100,124,224,1,84,0,0,0.0166666667,1.4
1873,Dormant,3,9,13,29,193,100,124,224,1,84,0,0,0.0166666667,1.4
1878,Surprising,3,6,15,30,59,454,48,502,5,312,0,0,0.0833333333,5.2
1878,Dormant,3,6,15,30,59,454,48,502,5,312,0,0,0.0833333333,5.2
1914,Surprising,1,2,3,14,25,40,30,70,240,14428,0,10,4,240.4666666667
1924,Surprising,1,4,4,15,14,24,5,29,94,5691,0,3,1.5666666667,94.85
1925,Surprising,1,7,12,15,182,121,50,171,499,33309,0,23,8.3166666667,555.15
1934,Surprising,2,3,3,30,15,18,10,28,41,1485,0,1,0.6833333333,24.75
1948,Surprising,1,2,2,15,23,55,0,55,0,1,0,0,0,0.0166666667
1948,Breakage,1,2,2,15,23,55,0,55,0,1,0,0,0,0.0166666667
1963,Surprising,2,5,9,15,319,140,25,165,241,14484,0,10,4.0166666667,241.4
2016,Surprising,2,6,6,15,77,196,193,389,0,51,0,0,0,0.85
2020,Surprising,1,1,1,14,8,9,1,10,0,71,0,0,0,1.1833333333
2020,Dormant,1,1,1,14,8,9,1,10,0,71,0,0,0,1.1833333333
2032,Surprising,1,2,3,15,14,1,26,27,1,63,0,0,0.0166666667,1.05
2049,Normal,4,5,7,45,205,41,15,56,164,9923,0,6,2.7333333333,165.3833333333
2060,Dormant,1,2,2,15,37,67,6,73,0,189,0,0,0,3.15
2064,Normal,1,3,3,15,15,34,4,38,0,9,0,0,0,0.15
2070,Dormant,1,3,4,15,89,115,17,132,0,42,0,0,0,0.7
2072,Dormant,1,2,2,15,38,66,8,74,0,2,0,0,0,0.0333333333
2084,Dormant,1,2,3,15,35,85,4,89,0,4,0,0,0,0.0666666667
2092,Dormant,1,3,4,14,17,74,4,78,0,81,0,0,0,1.35
2095,Normal,2,5,9,15,26,266,0,266,5,324,0,0,0.0833333333,5.4
2132,Normal,1,1,1,14,62,11,1,12,0,33,0,0,0,0.55
2133,Dormant,2,4,4,30,195,36,4,40,0,7,0,0,0,0.1166666667
2139,Performance,1,1,2,15,43,23,12,35,1,176,0,0,0.0166666667,2.9333333333
2146,Normal,1,2,3,15,61,11,19,30,0,1,0,0,0,0.0166666667
2150,Normal,4,7,9,30,87,259,14,273,173,10735,0,7,2.8833333333,178.9166666667
2153,Security,2,2,3,16,45,98,3,101,21,1374,0,0,0.35,22.9
2156,Normal,1,3,5,15,38,39,19,58,248,15000,0,10,4.1333333333,250
2165,Breakage,4,4,8,60,179,83,23,106,138,8234,0,5,2.3,137.2333333333
2168,Dormant,1,1,1,15,22,1,1,2,0,10,0,0,0,0.1666666667
2183,Normal,1,1,1,14,17,12,15,27,0,451,0,0,0,7.5166666667
2188,Normal,1,3,7,12,12,465,13,478,149,100547,0,69,2.4833333333,1675.7833333333
2201,Normal,1,1,1,15,39,5,1,6,0,49,0,0,0,0.8166666667
2215,Normal,1,2,2,15,5,21,1,22,0,27,0,0,0,0.45
2222,Normal,1,1,1,15,58,8,2,10,0,177,0,0,0,2.95
2227,Normal,1,2,2,16,82,81,2,83,0,65,0,0,0,1.0833333333
2231,Dormant,1,1,1,15,27,7,0,7,0,37,0,0,0,0.6166666667
2237,Normal,1,2,4,16,52,106,31,137,27,1724,0,1,0.45,28.7333333333
2245,Dormant,1,2,3,15,29,90,14,104,0,8,0,0,0,0.1333333333
2245,Breakage,1,2,3,15,29,90,14,104,0,8,0,0,0,0.1333333333
2255,Normal,1,1,1,16,15,3,3,6,0,15,0,0,0,0.25
2269,Normal,1,2,2,16,8,60,0,60,0,112,0,0,0,1.8666666667
2292,Normal,2,4,5,16,114,107,3,110,18,19362,0,13,0.3,322.7
2303,Breakage,1,3,5,16,44,182,27,209,0,62,0,0,0,1.0333333333
2318,Surprising,1,1,1,15,2,1,1,2,0,9,0,0,0,0.15
2318,Dormant,1,1,1,15,2,1,1,2,0,9,0,0,0,0.15
2319,Surprising,1,1,1,16,6,4,1,5,0,0,0,0,0,0
2320,Surprising,1,2,2,15,12,99,0,99,13,882,0,0,0.2166666667,14.7
2327,Surprising,1,1,1,15,12,1,1,2,0,14,0,0,0,0.2333333333
2327,Dormant,1,1,1,15,12,1,1,2,0,14,0,0,0,0.2333333333
2363,Surprising,1,1,1,15,1,0,113,113,9,624,0,0,0.15,10.4
2363,Performance,1,1,1,15,1,0,113,113,9,624,0,0,0.15,10.4
2395,Normal,2,3,4,32,48,171,12,183,1,164,0,0,0.0166666667,2.7333333333
2436,Dormant,1,4,6,16,177,181,10,191,1,164,0,0,0.0166666667,2.7333333333
2447,Dormant,1,2,2,15,16,17,1,18,0,52,0,0,0,0.8666666667
2452,Normal,1,2,2,15,17,106,8,114,95,389227,0,270,1.5833333333,6487.1166666667
2456,Normal,2,2,4,28,26,19,5,24,51,3176,0,2,0.85,52.9333333333
2458,Normal,1,2,2,15,19,5,0,5,4,720,0,0,0.0666666667,12
2476,Normal,1,2,2,14,20,36,14,50,5,414,0,0,0.0833333333,6.9
2477,Normal,1,2,2,14,10,33,12,45,6,422,0,0,0.1,7.0333333333
2486,Normal,1,3,3,16,37,61,1,62,13,848,0,0,0.2166666667,14.1333333333
2514,Dormant,1,2,2,16,114,8,7,15,0,67,0,0,0,1.1166666667
2528,Normal,1,2,2,16,121,3,3,6,0,3265,0,2,0,54.4166666667
2529,Surprising,1,2,2,15,10,33,1,34,2,197,0,0,0.0333333333,3.2833333333
2529,Dormant,1,2,2,15,10,33,1,34,2,197,0,0,0.0333333333,3.2833333333
2540,Surprising,2,2,2,16,16,99,21,120,256,15414,0,10,4.2666666667,256.9
2554,Surprising,2,4,4,25,16,51,50,101,12,3552,0,2,0.2,59.2
2554,Dormant,2,4,4,25,16,51,50,101,12,3552,0,2,0.2,59.2
2566,Normal,2,3,3,16,130,107,16,123,3,203,0,0,0.05,3.3833333333
2575,Breakage,1,3,3,16,17,19,11,30,71,4319,0,2,1.1833333333,71.9833333333
2622,Normal,1,3,3,16,112,38,5,43,0,55,0,0,0,0.9166666667
2629,Normal,1,2,2,16,39,19,11,30,0,1,0,0,0,0.0166666667
2636,Normal,2,3,4,15,22,114,39,153,93,55632,0,38,1.55,927.2
2642,Normal,3,5,6,48,203,257,75,332,1298,77892,0,54,21.6333333333,1298.2
2663,Normal,7,10,10,54,482,147,4,151,216,22857,0,15,3.6,380.95
2700,Normal,1,4,4,17,7,145,0,145,0,17,0,0,0,0.2833333333
2708,Normal,2,4,7,16,59,133,6,139,3,202,0,0,0.05,3.3666666667
2716,Performance,6,19,34,102,1207,247,112,359,1355,81848,0,56,22.5833333333,1364.1333333333
2743,Dormant,3,7,7,55,190,159,14,173,2977,179686,2,124,49.6166666667,2994.7666666667
2744,Normal,1,2,2,18,44,66,1,67,13,801,0,0,0.2166666667,13.35
2748,Normal,1,3,5,18,192,349,5,354,0,5,0,0,0,0.0833333333
2755,Surprising,1,3,3,16,39,67,18,85,8,506,0,0,0.1333333333,8.4333333333
2763,Surprising,1,2,2,15,58,36,2,38,2,275,0,0,0.0333333333,4.5833333333
2763,Dormant,1,2,2,15,58,36,2,38,2,275,0,0,0.0333333333,4.5833333333
2773,Surprising,1,7,9,16,48,292,20,312,248,14908,0,10,4.1333333333,248.4666666667
2778,Surprising,3,8,9,54,106,54,13,67,10,473,0,0,0.1666666667,7.8833333333
2798,Surprising,1,2,2,18,45,64,2,66,26,1595,0,1,0.4333333333,26.5833333333
2805,Surprising,1,2,2,15,19,17,2,19,138,8305,0,5,2.3,138.4166666667
2815,Surprising,1,1,1,18,11,1,0,1,0,70,0,0,0,1.1666666667
2821,Surprising,1,1,1,18,24,5,0,5,0,2,0,0,0,0.0333333333
2824,Surprising,3,9,13,54,212,240,116,356,131,2033,0,1,2.1833333333,33.8833333333
2824,Performance,3,9,13,54,212,240,116,356,131,2033,0,1,2.1833333333,33.8833333333
2854,Surprising,2,10,15,18,68,169,44,213,105,6333,0,4,1.75,105.55
2854,Performance,2,10,15,18,68,169,44,213,105,6333,0,4,1.75,105.55
2867,Surprising,1,3,6,18,64,111,12,123,0,1,0,0,0,0.0166666667
2909,Normal,3,3,4,54,238,20,5,25,75,1129,0,0,1.25,18.8166666667
2935,Breakage,2,6,10,18,194,328,143,471,10,655,0,0,0.1666666667,10.9166666667
2937,Performance,2,3,4,32,65,19,12,31,3,9,0,0,0.05,0.15
2940,Normal,1,1,1,19,112,1,0,1,0,1336,0,0,0,22.2666666667
2958,Surprising,1,2,2,16,11,64,6,70,25,1551,0,1,0.4166666667,25.85
