issue_id,bug_type,subsystems,dirctories,files,num_developer,num_unique_change,add_line,delete_line,churns,OpenToLastCommit_min,OpenToResolved_min,OpenToLastCommit_Days,OpenToResolved_Days,OpenToLastCommit_Hour,OpenToResolved_Hour
85,Normal,1,3,3,8,18,39,1,40,10603,740362,7,514,176.7166666667,12339.3666666667
94,Surprising,1,4,6,4,8,137,6,143,387,62257,0,43,6.45,1037.6166666667
122,Normal,1,1,1,3,5,3,3,6,209,13167,0,9,3.4833333333,219.45
128,Normal,1,1,1,7,17,1,1,2,3190,639211,2,443,53.1666666667,10653.5166666667
129,Normal,1,9,39,27,776,14005,13395,27400,64232,4016881,44,2789,1070.5333333333,66948.0166666667
153,Normal,1,1,1,3,1,183,180,363,1122,91411,0,63,18.7,1523.5166666667
183,Normal,2,14,17,32,307,112,17,129,13620,817248,9,567,227,13620.8
184,Normal,1,1,1,3,6,5,5,10,-4,336,-1,0,-0.0666666667,5.6
238,Security,1,1,2,5,17,25,0,25,3878,233265,2,161,64.6333333333,3887.75
249,Normal,1,1,1,3,3,2,1,3,461,28238,0,19,7.6833333333,470.6333333333
324,Security,1,1,1,4,1,3,2,5,1863,501040,1,347,31.05,8350.6666666667
339,Normal,1,4,9,7,30,98,35,133,52,3717,0,2,0.8666666667,61.95
348,Dormant,1,1,1,3,3,335,60,395,447,27399,0,19,7.45,456.65
349,Performance,1,4,4,14,22,727,2755,3482,7097,426332,4,296,118.2833333333,7105.5333333333
349,Breakage,1,4,4,14,22,727,2755,3482,7097,426332,4,296,118.2833333333,7105.5333333333
353,Normal,1,4,5,7,15,162,129,291,1933,607979,1,422,32.2166666667,10132.9833333333
361,Normal,1,4,17,7,51,528,30,558,328,20255,0,14,5.4666666667,337.5833333333
375,Normal,2,5,8,14,35,121,22,143,2910,178131,2,123,48.5,2968.85
385,Normal,1,1,1,5,7,3,3,6,2365,152831,1,106,39.4166666667,2547.1833333333
387,Normal,1,1,1,3,5,11,7,18,5506,453008,3,314,91.7666666667,7550.1333333333
389,Performance,2,5,5,14,13,19,37,56,3199,41790,2,29,53.3166666667,696.5
392,Normal,1,2,5,7,23,7,22,29,2460,159988,1,111,41,2666.4666666667
415,Normal,1,2,2,14,22,15,3,18,9879,592759,6,411,164.65,9879.3166666667
424,Normal,1,4,5,7,30,137,22,159,2673,163842,1,113,44.55,2730.7
479,Normal,2,5,6,18,42,160,34,194,5138,318970,3,221,85.6333333333,5316.1666666667
483,Surprising,1,4,13,11,82,13,13,26,4097,246458,2,171,68.2833333333,4107.6333333333
485,Surprising,1,8,17,7,70,329,40,369,43,83395,0,57,0.7166666667,1389.9166666667
485,Security,1,8,17,7,70,329,40,369,43,83395,0,57,0.7166666667,1389.9166666667
488,Surprising,1,1,1,7,6,1,0,1,18,81903,0,56,0.3,1365.05
498,Surprising,1,5,8,8,49,337,6,343,1724,105568,1,73,28.7333333333,1759.4666666667
504,Surprising,2,6,14,23,101,1014,45,1059,12399,744042,8,516,206.65,12400.7
525,Surprising,2,5,6,17,26,210,31,241,1677,101169,1,70,27.95,1686.15
527,Surprising,1,1,1,7,35,8,3,11,-8,83822,-1,58,-0.1333333333,1397.0333333333
530,Surprising,2,8,14,16,42,455,103,558,622,35021,0,24,10.3666666667,583.6833333333
530,Blocker,2,8,14,16,42,455,103,558,622,35021,0,24,10.3666666667,583.6833333333
536,Surprising,1,1,1,1,1,3,1,4,45,3257,0,2,0.75,54.2833333333
540,Surprising,1,4,9,7,36,406,74,480,-8,48,-1,0,-0.1333333333,0.8
541,Surprising,1,1,1,11,14,2,2,4,4017,484698,2,336,66.95,8078.3
582,Normal,1,5,49,8,343,992,183,1175,893,58435,0,40,14.8833333333,973.9166666667
595,Normal,1,1,4,21,64,35,21,56,13511,820772,9,569,225.1833333333,13679.5333333333
606,Normal,1,8,13,16,131,511,17,528,10261,654088,7,454,171.0166666667,10901.4666666667
618,Normal,1,7,7,12,26,95,1,96,3418,214212,2,148,56.9666666667,3570.2
622,Security,1,1,1,12,14,30,7,37,4015,419446,2,291,66.9166666667,6990.7666666667
623,Security,2,5,5,22,57,10,13,23,3644,222857,2,154,60.7333333333,3714.2833333333
630,Normal,1,10,20,16,232,3263,47,3310,8721,523281,6,363,145.35,8721.35
634,Performance,1,4,4,16,26,132,1,133,7127,436146,4,302,118.7833333333,7269.1
638,Normal,1,5,5,16,49,58,2,60,9318,562190,6,390,155.3,9369.8333333333
655,Normal,2,7,9,28,173,54,1,55,5334,353315,3,245,88.9,5888.5833333333
656,Security,1,1,1,8,8,4,11,15,116,7581,0,5,1.9333333333,126.35
662,Normal,2,5,9,16,46,859,275,1134,113,34902,0,24,1.8833333333,581.7
675,Dormant,1,1,1,5,1,34,71,105,15,8433,0,5,0.25,140.55
680,Normal,1,3,3,7,9,66,84,150,2150,641796,1,445,35.8333333333,10696.6
682,Normal,1,3,3,3,6,771,0,771,154,14468,0,10,2.5666666667,241.1333333333
714,Surprising,1,4,6,8,36,44,19,63,14,1509,0,1,0.2333333333,25.15
714,Dormant,1,4,6,8,36,44,19,63,14,1509,0,1,0.2333333333,25.15
718,Surprising,1,2,2,8,14,13,0,13,138,8935,0,6,2.3,148.9166666667
728,Surprising,5,8,28,125,645,401,147,548,41516,2607214,28,1810,691.9333333333,43453.5666666667
744,Surprising,2,2,2,32,169,2,2,4,6184,371447,4,257,103.0666666667,6190.7833333333
787,Normal,1,2,2,14,7,13,27,40,2213,141996,1,98,36.8833333333,2366.6
809,Dormant,1,2,2,12,24,6,6,12,1102,87193,0,60,18.3666666667,1453.2166666667
857,Dormant,2,2,2,44,17,87,29,116,15207,912458,10,633,253.45,15207.6333333333
857,Security,2,2,2,44,17,87,29,116,15207,912458,10,633,253.45,15207.6333333333
