issue_id,bug_type,subsystems,dirctories,files,num_developer,num_unique_change,add_line,delete_line,churns,OpenToLastCommit_min,OpenToResolved_min,OpenToLastCommit_Days,OpenToResolved_Days,OpenToLastCommit_Hour,OpenToResolved_Hour
16,Normal,4,9,17,48,175,279,247,526,32,557,0,0,0.5333333333,9.2833333333
31,Normal,4,4,4,20,14,8,8,16,11,737,0,0,0.1833333333,12.2833333333
38,Normal,3,4,6,38,56,102,72,174,2618,182246,1,126,43.6333333333,3037.4333333333
85,Normal,2,2,2,24,15,25,7,32,59,3617,0,2,0.9833333333,60.2833333333
88,Normal,2,2,2,24,15,12,6,18,8,565,0,0,0.1333333333,9.4166666667
101,Normal,2,4,4,24,14,46,2,48,0,12,0,0,0,0.2
142,Normal,2,2,2,24,3,2,2,4,81,5038,0,3,1.35,83.9666666667
144,Breakage,6,8,8,72,44,129,77,206,88,5344,0,3,1.4666666667,89.0666666667
149,Normal,2,2,2,24,21,4,3,7,1004,60346,0,41,16.7333333333,1005.7666666667
165,Normal,4,6,10,52,85,242,150,392,1999,119887,1,83,33.3166666667,1998.1166666667
172,Normal,1,5,8,12,21,194,55,249,23,1466,0,1,0.3833333333,24.4333333333
215,Dormant,2,2,2,24,67,20,21,41,742,74958,0,52,12.3666666667,1249.3
218,Normal,2,2,2,24,21,25,19,44,110,6718,0,4,1.8333333333,111.9666666667
245,Normal,1,1,1,12,13,9,1,10,0,27,0,0,0,0.45
250,Normal,2,2,2,24,27,8,0,8,7,482,0,0,0.1166666667,8.0333333333
254,Normal,1,4,8,14,67,177,7,184,3369,202183,2,140,56.15,3369.7166666667
255,Normal,2,2,2,24,9,2,2,4,0,17,0,0,0,0.2833333333
269,Surprising,2,8,8,24,55,85,91,176,0,32,0,0,0,0.5333333333
269,Dormant,2,8,8,24,55,85,91,176,0,32,0,0,0,0.5333333333
277,Normal,2,4,4,25,8,84,13,97,544,32740,0,22,9.0666666667,545.6666666667
